"Pk";"Tm";"Player";"College";"Yrs";"G";"MP";"PTS";"TRB";"AST";"FG.";"3P.";"FT.";"MP.1";"PTS.1";"TRB.1";"AST.1";"WS";"WS.48";"BPM";"VORP";"year"
44;"BOS";"W.D. Stroud";"Mississippi State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
45;"NYK";"Jim Kerwin";"Tulane University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
46;"BAL";"Ken Siebel";"University of Wisconsin";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
47;"SFW";"Gene Shields";"Santa Clara University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
48;"DET";"Reggie Harding";"";"3";205;5529;1839;1865;343;0,413;NA;0,607;27;9;9,1;1,7;5,7;0,049;NA;NA;1963
49;"CIN";"Jim McCormack";"West Virginia University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
50;"STL";"Al Santio";"University of Maryland";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
51;"PHI";"Vince Brewer";"Iowa State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
52;"LAL";"Warren Salade";"Westminster College of Pennsylvania";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
53;"BOS";"Vinnie Ernst";"Providence College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
54;"NYK";"Bob Woolard";"Wake Forest University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
55;"BAL";"Larry Brown";"University of North Carolina";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
56;"SFW";"Don Clemetson";"Stanford University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
57;"DET";"Ira Harge";"University of New Mexico";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
58;"CIN";"Hunter Beckman";"University of Memphis";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
59;"STL";"Ken Rohloff";"North Carolina State University";"1";2;7;0;0;1;0;NA;NA;3,5;0;0;0,5;0;-0,131;NA;NA;1963
60;"PHI";"Bill Brown";"Howard Payne University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
61;"LAL";"Gordie Martin";"University of Southern California";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
62;"BOS";"Herb Magee";"Philadelphia University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
63;"NYK";"Freddie Crawford";"St. Bonaventure University";"5";297;5047;2031;746;610;0,446;NA;0,595;17;6,8;2,5;2,1;6,1;0,058;NA;NA;1963
64;"BAL";"Dick Riesback";"Iowa State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
65;"SFW";"Harry Dinnell";"Pepperdine University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
66;"DET";"Gary Silc";"Northern Michigan University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
67;"STL";"Harold Strothers";"Texas A&M University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
68;"NYK";"Ray Cronk";"Lakeland College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
69;"BAL";"Ron Jackson";"University of Wisconsin";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
70;"SFW";"Chuck White";"University of Idaho";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
71;"DET";"Ernie Durston";"Seattle University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
72;"STL";"Frank Davis";"Oklahoma Christian University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
73;"NYK";"Gerald Glur";"Furman University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
74;"BAL";"M. C. Thompson";"DePaul University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
75;"STL";"Carl Ritter";"Southeast Missouri State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
76;"NYK";"Orbie Bowling";"University of Tennessee";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
77;"STL";"Marv Straw";"Iowa State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
78;"NYK";"Bob Walter";"Baldwin-Wallace College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
79;"STL";"Hugh Evans";"North Carolina Agricultural and Technical State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
80;"NYK";"Jerry Szachara";"Cornell University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
81;"STL";"Gordon McFarland";"Central Missouri State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
82;"NYK";"Bill Raftery";"La Salle University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
83;"NYK";"Ron Pickett";"Eastern Kentucky University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1963
1;"NYK";"Jim Barnes";"University of Texas at El Paso";"7";454;9455;3997;2939;377;0,429;NA;0,684;20,8;8,8;6,5;0,8;14,2;0,072;NA;NA;1964
2;"DET";"Joe Caldwell";"Arizona State University";"6";468;13874;7127;2367;1257;0,459;NA;0,634;29,6;15,2;5,1;2,7;23,9;0,083;NA;NA;1964
3;"BAL";"Gary Bradds";"Ohio State University";"2";44;350;144;92;20;0,41;NA;0,716;8;3,3;2,1;0,5;0,5;0,067;NA;NA;1964
4;"PHI";"Luke Jackson";"University of Texas-Pan American";"8";522;13783;5170;4613;818;0,415;NA;0,722;26,4;9,9;8,8;1,6;22,3;0,078;NA;NA;1964
5;"STL";"Jeff Mullins";"Duke University";"12";804;24574;13017;3427;3023;0,463;NA;0,814;30,6;16,2;4,3;3,8;62,8;0,123;-1,2;0,8;1964
6;"SFW";"Barry Kramer";"New York University";"1";52;507;186;100;41;0,339;NA;0,714;9,8;3,6;1,9;0,8;0,2;0,017;NA;NA;1964
7;"BOS";"Mel Counts";"Oregon State University";"12";789;13723;6516;4756;1100;0,435;NA;0,764;17,4;8,3;6;1,4;27,7;0,097;-0,5;0,8;1964
8;"NYK";"Willis Reed";"Grambling State University";"10";650;23073;12183;8414;1186;0,476;NA;0,747;35,5;18,7;12,9;1,8;74,9;0,156;0,5;0,3;1964
9;"DET";"Les Hunter";"Loyola University of Chicago";"1";24;114;42;50;11;0,281;NA;0,429;4,8;1,8;2,1;0,5;-0,5;-0,21;NA;NA;1964
10;"STL";"Paul Silas";"Creighton University";"16";1254;34989;11782;12357;2572;0,432;NA;0,673;27,9;9,4;9,9;2,1;79,9;0,11;0,2;8,5;1964
11;"PHI";"Ira Harge";"University of New Mexico";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
12;"LAL";"Cotton Nash";"University of Kentucky";"1";45;357;137;83;19;0,324;NA;0,827;7,9;3;1,8;0,4;0;-0,001;NA;NA;1964
13;"NYK";"Howard Komives";"Bowling Green State University";"10";742;20213;7550;1804;2941;0,388;NA;0,83;27,2;10,2;2,4;4;5;0,012;-5,8;-0,8;1964
14;"SFW";"Bud Koper";"Oklahoma City University";"1";54;631;247;61;43;0,44;NA;0,833;11,7;4,6;1,1;0,8;1;0,078;NA;NA;1964
15;"CIN";"Bill Chmielewski";"University of Dayton";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
16;"BOS";"Ron Bonham";"University of Cincinnati";"2";76;681;478;113;30;0,391;NA;0,832;9;6,3;1,5;0,4;2;0,138;NA;NA;1964
17;"NYK";"Brian Generalovich";"University of Pittsburgh";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
18;"DET";"Wali Jones";"Villanova University";"10";607;14420;6140;1394;1947;0,409;NA;0,8;23,8;10,1;2,3;3,2;14,9;0,049;-6,6;-0,2;1964
19;"BAL";"Jerry Sloan";"University of Evansville";"11";755;25750;10571;5615;1925;0,427;NA;0,722;34,1;14;7,4;2,5;49,5;0,092;1,3;5,1;1964
20;"PHI";"Larry Jones";"University of Toledo";"2";95;2235;854;241;270;0,4;NA;0,815;23,5;9;2,5;2,8;2,5;0,055;-1,5;0,3;1964
21;"LAL";"Tom Dose";"Stanford University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
22;"STL";"Arthur Becker";"Arizona State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
23;"SFW";"McCoy McLemore";"Drake University";"8";580;12221;5130;3161;733;0,394;NA;0,771;21,1;8,8;5,5;1,3;9,5;0,037;NA;NA;1964
24;"CIN";"Steve Courtin";"Saint Joseph's University";"1";24;317;101;22;22;0,408;NA;0,81;13,2;4,2;0,9;0,9;0,2;0,036;NA;NA;1964
25;"BOS";"John Thompson";"Providence College";"2";74;771;262;260;19;0,41;NA;0,595;10,4;3,5;3,5;0,3;2,1;0,128;NA;NA;1964
26;"NYK";"Freddie Crawford";"St. Bonaventure University";"5";297;5047;2031;746;610;0,446;NA;0,595;17;6,8;2,5;2,1;6,1;0,058;NA;NA;1964
27;"DET";"Jim Davis";"University of Colorado";"8";597;10027;3997;3109;739;0,461;NA;0,674;16,8;6,7;5,2;1,2;19,2;0,092;0,1;1,1;1964
28;"BAL";"Pete Spoden";"University of Northern Iowa";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
29;"PHI";"Frank Corace";"La Salle University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
30;"LAL";"Hank Finkel";"University of Dayton";"9";551;6866;2790;2151;426;0,449;NA;0,662;12,5;5,1;3,9;0,8;13,5;0,094;-4,9;-0,7;1964
31;"STL";"Willie Murrell";"Kansas State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
32;"SFW";"Gene Elmore";"Southern Methodist University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
33;"CIN";"Happy Hairston";"New York University";"11";776;24330;11505;8019;1268;0,478;NA;0,741;31,4;14,8;10,3;1,6;70;0,138;1,6;4,5;1964
34;"BOS";"Joe Strawder";"Bradley University";"3";231;6365;1977;2296;245;0,426;NA;0,686;27,6;8,6;9,9;1,1;10,8;0,082;NA;NA;1964
35;"NYK";"Tony Gennari";"Canisius College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
36;"DET";"Ray Wolford";"University of Toledo";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
37;"BAL";"Bennie Lennox";"Texas A&M University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
38;"PHI";"Lou Skurcenski";"Westminster College of Pennsylvania";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
39;"LAL";"John Savage";"University of North Texas";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
40;"STL";"John Tresvant";"Seattle University";"9";559;12296;5118;3546;806;0,451;NA;0,693;22;9,2;6,3;1,4;24,4;0,095;NA;NA;1964
41;"SFW";"Roger Suttner";"Kansas State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
42;"CIN";"George Kirk";"University of Memphis";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
43;"BOS";"Nick Werkman";"Seton Hall University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
44;"NYK";"Tom Lavelle";"Western Carolina University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
45;"DET";"Larry Phillips";"Rice University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
46;"BAL";"Bobby Joe Edmonds";"Tennessee State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
47;"PHI";"Ricky Kaminsky";"Yale University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
48;"LAL";"Troy Collier";"Utah State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
49;"STL";"Ernest Brock";"Virginia State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
50;"SFW";"Ray Carey";"University of Missouri";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
51;"CIN";"Al Thresher";"Wittenberg University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
52;"BOS";"Levern Tart";"Bradley University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
53;"NYK";"Em Bryant";"DePaul University";"8";566;11451;3722;1593;1700;0,41;NA;0,69;20,2;6,6;2,8;3;8,6;0,036;NA;NA;1964
54;"DET";"Jerry Jackson";"Ohio University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
55;"BAL";"Ron Miller";"Loyola University of Chicago";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
56;"PHI";"Gordon Hatton";"University of Dayton";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
57;"LAL";"Steve Anstett";"University of Portland";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
58;"STL";"Maurice McHartley";"North Carolina Agricultural and Technical State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
59;"SFW";"David Lee";"University of San Francisco";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
60;"CIN";"Vic Rouse";"Loyola University of Chicago";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
61;"BOS";"Rich Falk";"Northwestern University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
62;"NYK";"Jim Boutin";"Lewis and Clark College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
63;"DET";"Ralph Telken";"Rockhurst University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
64;"BAL";"Danny Schultz";"University of Tennessee";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
65;"PHI";"Bob Pelkington";"Xavier University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
66;"LAL";"Jay Buckley";"Duke University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
67;"STL";"Kendall Rhine";"Rice University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
68;"SFW";"Bob Garibaldi";"Santa Clara University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
69;"CIN";"Joe Gieger";"Xavier University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
70;"BOS";"Jeff Blue";"Butler University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
71;"NYK";"Jack Brens";"University of Wisconsin";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
72;"BAL";"Tom Black";"South Dakota State University";"1";71;873;299;259;44;0,402;NA;0,648;12,3;4,2;3,6;0,6;0,1;0,008;NA;NA;1964
73;"PHI";"Jim Brennan";"Clemson University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
74;"STL";"Darel Carrier";"Western Kentucky University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
75;"SFW";"Camden Wail";"University of California";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
76;"CIN";"Scotty Pierce";"West Texas A&M University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
77;"BOS";"Charles Kelley";"West Virginia University Institute of Technology";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
78;"NYK";"Jim Christy";"Georgetown University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
79;"BAL";"Bill Kusleika";"University of Tulsa";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
80;"PHI";"Wally Briggs";"North Carolina Agricultural and Technical State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
81;"STL";"Frank Stephens";"Virginia State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
82;"SFW";"Jeff Cartwright";"Chapman University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
83;"CIN";"Bob Neumann";"University of Memphis";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
84;"BOS";"Duane Corribeau";"Clark University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
85;"NYK";"Dennis Lynch";"Yale University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
86;"BAL";"Fred Glover";"Winston-Salem State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
87;"PHI";"Thomas Lowry";"West Virginia University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
88;"STL";"Gerald Govan";"Saint Mary of the Plains College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
89;"CIN";"Jim Reynolds";"Abilene Christian University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
90;"BAL";"Frank Kaminski";"Randolph-Macon College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
91;"PHI";"Julius Myers";"Morris Brown College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
92;"STL";"Warren Sutton";"Sir George Williams University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
93;"CIN";"Fred Jones";"Youngstown State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
94;"BAL";"Doug Moon";"University of Utah";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
95;"STL";"Cecil Tuttle";"Georgetown College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
96;"BAL";"Pete Gent";"Michigan State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
97;"STL";"Bill Blair";"Virginia Military Institute";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
98;"BAL";"Sandy Williams";"Saint Francis University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
99;"STL";"Al Cech";"University of Detroit Mercy";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1964
1;"SFW";"Fred Hetzel";"Davidson College";"6";416;8885;4658;2444;462;0,421;NA;0,817;21,4;11,2;5,9;1,1;15,9;0,086;NA;NA;1965
2;"SFW";"Rick Barry";"University of Miami";"10";794;28825;18395;5168;4017;0,449;0,33;0,9;36,3;23,2;6,5;5,1;93,4;0,156;3,2;25,8;1965
3;"NYK";"Dave Stallworth";"Wichita State University";"8";522;10494;4860;2453;872;0,438;NA;0,732;20,1;9,3;4,7;1,7;20,3;0,093;-1,5;0,1;1965
4;"BAL";"Jerry Sloan";"University of Evansville";"11";755;25750;10571;5615;1925;0,427;NA;0,722;34,1;14;7,4;2,5;49,5;0,092;1,3;5,1;1965
5;"PHI";"Billy Cunningham";"University of North Carolina";"9";654;22406;13626;6638;2625;0,446;NA;0,72;34,3;20,8;10,1;4;63,2;0,135;3,3;4,7;1965
6;"STL";"Jim Washington";"Villanova University";"11";774;22668;8168;6637;1105;0,449;NA;0,705;29,3;10,6;8,6;1,4;39,3;0,083;-1,3;0,7;1965
7;"CIN";"Nate Bowman";"Wichita State University";"5";243;2171;702;791;162;0,39;NA;0,527;8,9;2,9;3,3;0,7;1,3;0,03;NA;NA;1965
8;"BOS";"Ollie Johnson";"University of San Francisco";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1965
9;"SFW";"Will Frazier";"Grambling State University";"1";2;9;1;5;1;0;NA;0,5;4,5;0,5;2,5;0,5;-0,1;-0,385;NA;NA;1965
10;"NYK";"Dick Van Arsdale";"Indiana University";"12";921;31771;15079;3807;3057;0,464;NA;0,79;34,5;16,4;4,1;3,3;75,2;0,114;-1,6;0,9;1965
11;"DET";"Tom Van Arsdale";"Indiana University";"12";929;28682;14232;3942;2085;0,431;NA;0,762;30,9;15,3;4,2;2,2;36,6;0,061;-3,3;-3,1;1965
12;"BAL";"Tal Brody";"University of Illinois at Urbana-Champaign";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1965
13;"PHI";"Jesse Branson";"Elon University";"1";5;14;5;9;1;0,167;NA;0,75;2,8;1;1,8;0,2;0;-0,06;NA;NA;1965
14;"NYK";"Hal Blevins";"University of Arkansas at Pine Bluff";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1965
15;"CIN";"Flynn Robinson";"University of Wyoming";"7";494;11569;7147;1294;1516;0,456;NA;0,849;23,4;14,5;2,6;3,1;31,3;0,13;NA;NA;1965
16;"LAL";"John Fairchild";"Brigham Young University";"1";30;171;60;45;11;0,258;NA;0,7;5,7;2;1,5;0,4;-0,6;-0,166;NA;NA;1965
17;"BOS";"Ron Watts";"Wake Forest University";"2";28;92;40;39;2;0,261;NA;0,696;3,3;1,4;1,4;0,1;-0,1;-0,062;NA;NA;1965
18;"SFW";"Keith Erickson";"University of California, Los Angeles";"12";766;18841;7251;3449;1991;0,435;NA;0,769;24,6;9,5;4,5;2,6;25,2;0,064;-0,7;2;1965
19;"NYK";"Barry Clemens";"Ohio Wesleyan University";"11";790;12585;5312;2532;905;0,454;NA;0,756;15,9;6,7;3,2;1,1;18,6;0,071;-1,9;0;1965
20;"DET";"Ron Reed";"University of Notre Dame";"2";119;2245;951;762;173;0,364;NA;0,571;18,9;8;6,4;1,5;-1;-0,021;NA;NA;1965
21;"BAL";"Joe Newton";"Auburn University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1965
22;"PHI";"Bob Weiss";"Pennsylvania State University";"12";783;17277;5989;1398;2931;0,428;NA;0,828;22,1;7,6;1,8;3,7;31,2;0,087;-1,8;0,2;1965
23;"STL";"Ken McIntyre";"St. John's University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1965
24;"CIN";"Jon McGlocklin";"Indiana University";"11";792;20930;9169;1928;2280;0,489;NA;0,845;26,4;11,6;2,4;2,9;47,1;0,108;-3,4;-1,5;1965
25;"LAL";"Jim Caldwell";"Georgia Institute of Technology";"";2;7;0;1;1;0;NA;NA;3,5;0;0,5;0,5;0;-0,117;NA;NA;1965
26;"BOS";"Toby Kimball";"University of Connecticut";"9";571;10439;3470;3870;571;0,425;NA;0,573;18,3;6,1;6,8;1;14,2;0,065;-2,1;0;1965
27;"SFW";"Warren Rustand";"University of Arizona";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1965
28;"NYK";"Larry Lembo";"Manhattan College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1965
29;"DET";"Jim King";"Oklahoma State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1965
30;"BAL";"Skip Thoren";"University of Illinois at Urbana-Champaign";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1965
31;"PHI";"Hank Finkel";"University of Dayton";"9";551;6866;2790;2151;426;0,449;NA;0,662;12,5;5,1;3,9;0,8;13,5;0,094;-4,9;-0,7;1965
32;"STL";"Lynn Nance";"University of Washington";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1965
33;"CIN";"Bob Love";"Southern University and A&M College";"11";789;25120;13895;4653;1123;0,429;NA;0,805;31,8;17,6;5,9;1,4;50,4;0,096;-2,7;-1,6;1965
34;"LAL";"Brooks Henderson";"University of Florida";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1965
35;"BOS";"Richie Tarrant";"Saint Michael's College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1965
