"Pk";"Tm";"Player";"College";"Yrs";"G";"MP";"PTS";"TRB";"AST";"FG.";"3P.";"FT.";"MP.1";"PTS.1";"TRB.1";"AST.1";"WS";"WS.48";"BPM";"VORP";"year"
15;"BOS";"Jimmy Smith";"Franciscan University of Steubenville";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
16;"MNL";"Boo Ellis";"Niagara University";"2";118;1873;607;616;86;0,402;NA;0,695;15,9;5,1;5,2;0,7;3,1;0,079;NA;NA;1958
17;"CIN";"Bucky Bockhorn";"University of Dayton";"7";474;14791;5430;2234;1645;0,403;NA;0,748;31,2;11,5;4,7;3,5;7,9;0,026;NA;NA;1958
18;"DET";"Roy DeWitz";"Kansas State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
19;"NYK";"John Lee";"Yale University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
20;"PHW";"Frank Howard";"Ohio State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
21;"SYR";"John Nacincik";"University of Maryland";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
22;"STL";"Wayne Embry";"Miami University";"11";831;21763;10380;7544;1194;0,44;NA;0,64;26,2;12,5;9,1;1,4;37,8;0,083;NA;NA;1958
23;"BOS";"Jim Cunningham";"Fordham University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
24;"MNL";"George Kline";"University of Minnesota";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
25;"CIN";"Phil Murrell";"Drake University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
26;"DET";"Ralph Croswaite";"Western Kentucky University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
27;"NYK";"Johnny Cox";"University of Kentucky";"1";73;1685;573;280;142;0,421;NA;0,704;23,1;7,8;3,8;1,9;0,5;0,015;NA;NA;1958
28;"PHW";"Temple Tucker";"Rice University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
29;"SYR";"Tommy Kearns";"University of North Carolina";"1";1;7;2;0;0;1;NA;NA;7;2;0;0;0;0,23;NA;NA;1958
30;"STL";"Julius Peques";"University of Pittsburgh";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
31;"BOS";"Don Flora";"Washington & Lee University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
32;"MNL";"Quitman Sullins";"Murray State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
33;"CIN";"Jim Fulmer";"University of Alabama";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
